time, objectID, x, y, class
3441.5598,0,26.04,0.81,2
3442.0594,0,26.16,1.14,2
3442.1596,0,26.25,1.29,2
3442.2598,0,26.37,1.38,2
3442.3593,0,26.37,1.5,2
3442.4595,0,26.49,1.53,2
3441.5598,1,12.3,27.6,2
3441.7595,1,12.27,27.57,2
3441.8597,1,12.27,27.57,2
3442.1596,1,12.27,27.57,2
3442.3593,1,12.24,27.54,2
3442.4595,1,12.15,27.57,2
3442.5597,1,12.12,27.57,2
3441.5598,2,39.54,12.27,2
3441.66,2,39.54,12.24,2
3441.7595,2,39.54,12.24,2
3441.8597,2,39.54,12.24,2
3441.9599,2,39.51,12.24,2
3442.0594,2,39.48,12.24,2
3442.1596,2,39.45,12.21,2
3442.2598,2,39.39,12.18,2
3442.3593,2,39.39,12.12,2
3442.4595,2,39.42,12.09,2
3442.5597,2,39.39,12.03,2
3442.6599,2,39.39,12,2
3442.7595,2,39.21,12,2
3442.8597,2,39.15,12,2
3442.9599,2,39.18,12,2
3441.5598,3,43.89,9.72,2
3441.66,3,43.89,9.72,2
3441.7595,3,43.89,9.69,2
3441.8597,3,43.89,9.72,2
3441.9599,3,43.89,9.72,2
3442.0594,3,43.89,9.69,2
3442.1596,3,43.89,9.69,2
3442.2598,3,43.86,9.66,2
3442.3593,3,43.86,9.63,2
3442.4595,3,43.86,9.6,2
3442.5597,3,43.83,9.51,2
3442.6599,3,43.86,9.51,2
3442.7595,3,43.86,9.42,2
3442.8597,3,43.89,9.45,2
3442.9599,3,43.92,9.57,2
3443.0594,3,43.95,9.54,2
3443.1596,3,44.01,9.72,2
3443.2598,3,43.98,9.9,2
3443.3593,3,43.92,10.05,2
3443.1596,4,43.83,8.79,2
3443.2598,4,43.83,8.76,2
3443.3593,4,43.83,8.76,2
3443.4595,4,43.83,8.76,2
3443.5597,4,43.83,8.73,2
3443.6599,4,43.86,8.64,2
3443.7594,4,43.92,8.52,2
3443.8596,4,43.95,8.4,2
3443.9598,4,44.01,8.28,2
3444.0594,4,44.07,8.22,2
3444.1596,4,44.13,8.16,2
3444.2598,4,44.19,8.1,2
3444.36,4,44.25,8.07,2
3444.4595,4,44.34,8.04,2
3444.5597,4,44.49,8.01,2
3444.6599,4,44.61,7.98,2
3444.8596,4,44.79,7.89,2
3444.0594,5,9.3,18.27,2
3444.36,5,9.33,18.27,2
3444.5597,5,9.57,18.27,2
3444.7594,5,9.84,18.27,2
3444.8596,5,9.96,18.27,2
3445.2597,5,10.68,17.97,2
3445.4595,5,10.77,17.76,2
3441.8597,6,21.57,26.73,2
3442.2598,6,21.72,26.49,2
3442.3593,6,21.84,26.37,2
3442.4595,6,21.96,26.25,2
3442.5597,6,22.14,26.07,2
3442.7595,6,22.5,25.74,2
3442.8597,6,22.65,25.65,2
3442.9599,6,22.74,25.56,2
3443.0594,6,22.86,25.47,2
3443.1596,6,22.95,25.38,2
3443.2598,6,23.07,25.29,2
3443.3593,6,23.16,25.26,2
3443.4595,6,23.25,25.17,2
3443.5597,6,23.46,25.05,2
3443.7594,6,23.85,24.78,2
3444.0594,6,24.3,24.39,2
3444.1596,6,24.36,24.27,2
3444.2598,6,24.42,24.18,2
3444.36,6,24.48,24.12,2
3444.4595,6,24.6,24.03,2
3444.5597,6,24.75,24,2
3444.6599,6,24.87,23.94,2
3444.7594,6,25.05,23.85,2
3444.8596,6,25.23,23.79,2
3444.9598,6,25.44,23.67,2
3445.0593,6,25.62,23.58,2
3445.1595,6,25.77,23.49,2
3445.2597,6,25.92,23.4,2
3445.5597,6,26.55,22.98,2
3445.6598,6,26.61,22.92,2
3443.1596,7,5.01,14.37,2
3443.7594,7,5.01,14.4,2
3443.8596,7,5.01,14.4,2
3444.1596,7,5.01,14.43,2
3444.36,7,5.01,14.43,2
3444.8596,7,5.01,14.43,2
3445.3599,7,4.98,14.4,2
3445.6598,7,4.98,14.4,2
3441.5598,8,33.3,17.04,2
3441.66,8,33.27,17.04,2
3441.7595,8,33.27,17.01,2
3441.8597,8,33.27,17.04,2
3441.9599,8,33.24,17.07,2
3442.0594,8,33.15,17.13,2
3442.1596,8,33,17.25,2
3442.2598,8,32.82,17.37,2
3442.3593,8,32.64,17.52,2
3442.4595,8,32.43,17.64,2
3442.5597,8,32.22,17.73,2
3442.6599,8,32.04,17.82,2
3442.7595,8,31.86,17.88,2
3442.8597,8,31.71,17.94,2
3442.9599,8,31.59,17.97,2
3443.0594,8,31.47,18.09,2
3443.1596,8,31.35,18.18,2
3443.2598,8,31.2,18.24,2
3443.3593,8,31.05,18.27,2
3443.4595,8,30.9,18.33,2
3443.5597,8,30.78,18.36,2
3443.6599,8,30.6,18.42,2
3443.7594,8,30.45,18.48,2
3443.8596,8,30.33,18.54,2
3443.9598,8,30.21,18.57,2
3444.0594,8,30.09,18.6,2
3444.1596,8,29.97,18.66,2
3444.2598,8,29.88,18.72,2
3444.36,8,29.76,18.78,2
3444.4595,8,29.64,18.84,2
3444.5597,8,29.49,18.9,2
3444.6599,8,29.4,18.93,2
3444.7594,8,29.28,18.99,2
3444.8596,8,29.13,19.05,2
3444.9598,8,28.98,19.11,2
3445.0593,8,28.8,19.26,2
3445.1595,8,28.62,19.38,2
3445.2597,8,28.5,19.5,2
3445.3599,8,28.38,19.59,2
3445.4595,8,28.26,19.68,2
3445.5597,8,28.11,19.77,2
3445.6598,8,27.96,19.86,2
3445.7594,8,27.81,19.92,2
3445.8596,8,27.69,19.95,2
3442.8597,9,41.73,10.71,2
3442.9599,9,41.7,10.71,2
3443.2598,9,41.76,10.56,2
3443.4595,9,41.91,10.38,2
3443.5597,9,42,10.29,2
3443.6599,9,42.06,10.23,2
3443.7594,9,42.12,10.2,2
3443.8596,9,42.18,10.14,2
3443.9598,9,42.21,10.11,2
3444.0594,9,42.24,10.08,2
3444.1596,9,42.27,9.99,2
3444.2598,9,42.3,9.93,2
3444.36,9,42.33,9.9,2
3444.4595,9,42.36,9.87,2
3444.5597,9,42.39,9.84,2
3444.6599,9,42.45,9.81,2
3444.7594,9,42.51,9.78,2
3444.8596,9,42.57,9.75,2
3444.9598,9,42.63,9.75,2
3445.0593,9,42.69,9.72,2
3445.1595,9,42.75,9.66,2
3445.2597,9,42.81,9.63,2
3445.3599,9,42.9,9.6,2
3445.4595,9,43.02,9.57,2
3445.5597,9,43.08,9.48,2
3445.6598,9,43.29,9.48,2
3445.7594,9,43.44,9.48,2
3445.8596,9,43.62,9.6,2
3446.4594,10,27.75,22.2,2
3446.5596,10,27.75,22.17,2
3446.6598,10,27.75,22.17,2
3446.76,10,27.75,22.17,2
3446.8596,10,27.81,22.11,2
3446.5596,11,26.97,20.82,2
3446.6598,11,26.94,20.82,2
3446.76,11,26.94,20.79,2
3446.8596,11,26.94,20.82,2
3446.9597,11,26.85,20.82,2
3446.5596,12,11.55,16.92,2
3446.76,12,11.55,16.89,2
3446.9597,12,11.76,16.83,2
3447.0599,12,11.88,16.83,2
3447.1595,12,12.03,16.8,2
3441.5598,13,40.83,10.95,2
3441.66,13,40.83,10.92,2
3441.7595,13,40.83,10.92,2
3441.8597,13,40.83,10.92,2
3441.9599,13,40.86,10.92,2
3442.0594,13,40.89,10.86,2
3442.1596,13,40.95,10.8,2
3442.2598,13,41.01,10.77,2
3442.3593,13,40.98,10.8,2
3442.4595,13,40.98,10.8,2
3442.5597,13,40.95,10.86,2
3442.6599,13,40.86,10.98,2
3442.7595,13,40.83,11.01,2
3442.8597,13,40.68,11.16,2
3442.9599,13,40.56,11.28,2
3443.0594,13,40.56,11.28,2
3443.1596,13,40.59,11.28,2
3443.2598,13,40.56,11.28,2
3443.3593,13,40.53,11.31,2
3443.4595,13,40.53,11.31,2
3443.5597,13,40.56,11.28,2
3443.6599,13,40.59,11.25,2
3443.7594,13,40.62,11.19,2
