time, objectID, x, y, class
1645.3554,0,0.6,22.55,1
1645.455,0,0.6,22.5,1
1645.5551,0,0.6,22.5,1
1645.6553,0,0.65,22.5,1
1645.7549,0,0.75,22.3,1
1645.8551,0,0.9,22,1
1645.9553,0,1.2,21.65,1
1646.4549,0,1,20.25,1
1646.9552,0,0.75,20.2,1
1645.9553,1,4.65,21.5,1
1646.0555,1,4.65,21.45,1
1646.2552,1,4.9,21.4,1
1646.4549,1,6.45,20.65,1
1646.5551,1,7.7,20,1
1646.6553,1,8.85,19.35,1
1646.7549,1,9.75,18.9,1
1646.855,1,10.65,18.15,1
1646.9552,1,11.65,17.55,1
1647.0548,1,12.55,16.95,1
1647.155,1,13.4,16.4,1
1647.2552,1,14.25,15.95,1
1647.3554,1,15,15.4,1
1647.4549,1,15.85,14.95,1
1647.5551,1,16.7,14.45,1
1647.6553,1,17.5,13.9,1
1647.7548,1,18.35,13.4,1
1647.855,1,19.15,12.95,1
1647.9552,1,19.85,12.6,1
1648.0548,1,20.65,12.2,1
1648.1549,1,21.3,11.75,1
1648.2551,1,22,11.45,1
1648.3553,1,22.85,11.1,1
1648.4555,1,23.5,10.6,1
1648.5551,1,24.15,10.15,1
1648.7555,1,26,9,1
1648.855,1,26.75,8.45,1
1648.9552,1,27.3,7.95,1
1649.0554,1,28,7.5,1
1649.1549,1,28.7,7.05,1
1649.2551,1,29.45,6.65,1
1649.3553,1,30.2,6.05,1
1649.4548,1,31,5.6,1
1649.555,1,31.85,5.2,1
1649.6552,1,32.7,4.55,1
1649.7548,1,33.55,4,1
1649.855,1,34.3,3.55,1
1649.9552,1,35.15,3.15,1
1650.0554,1,36.1,2.85,1
1650.1549,1,36.9,2.4,1
1650.2551,1,37.75,1.85,1
1650.3553,1,38.6,1.4,1
1650.4548,1,39.5,0.9,1
1643.6554,2,7.8,24.15,1
1643.7549,2,7.8,24.15,1
1643.8551,2,7.8,24.1,1
1643.9553,2,7.8,24.1,1
1644.0549,2,7.9,24.05,1
1644.1551,2,8.05,23.95,1
1644.3548,2,8.55,23.8,1
1644.455,2,8.8,23.8,1
1644.5552,2,9.15,23.65,1
1644.6554,2,9.45,23.45,1
1644.7549,2,9.8,23.3,1
1644.8551,2,10.15,23.05,1
1644.9553,2,10.45,22.7,1
1645.0548,2,10.8,22.45,1
1645.155,2,11.15,22.2,1
1645.2552,2,11.4,22.05,1
1645.3554,2,11.7,21.9,1
1645.455,2,12,21.7,1
1645.5551,2,12.4,21.4,1
1645.6553,2,12.8,21.1,1
1645.7549,2,13.2,20.85,1
1645.8551,2,13.6,20.65,1
1645.9553,2,14,20.4,1
1646.0555,2,14.4,20.15,1
1646.155,2,14.9,19.95,1
1646.2552,2,15.35,19.75,1
1646.3554,2,15.8,19.45,1
1646.4549,2,16.35,19.15,1
1646.5551,2,16.85,18.95,1
1646.6553,2,17.35,18.65,1
1646.7549,2,17.9,18.4,1
1646.855,2,18.5,18.05,1
1646.9552,2,19,17.7,1
1647.0548,2,19.55,17.5,1
1647.155,2,20.1,17.2,1
1647.2552,2,20.7,16.9,1
1647.3554,2,21.25,16.55,1
1647.4549,2,21.8,16.3,1
1647.5551,2,22.35,15.95,1
1647.6553,2,23.05,15.65,1
1647.7548,2,23.65,15.15,1
1647.855,2,24.2,14.85,1
1647.9552,2,24.8,14.4,1
1648.0548,2,25.45,14,1
1648.1549,2,26.05,13.55,1
1648.2551,2,26.75,13.2,1
1648.3553,2,27.35,12.75,1
1648.4555,2,28,12.4,1
1648.5551,2,28.7,12,1
1648.6553,2,29.35,11.6,1
1648.7555,2,30.1,11.1,1
1648.855,2,30.85,10.5,1
1648.9552,2,31.65,10.05,1
1649.1549,2,33.5,8.9,1
1649.2551,2,33.65,8.3,1
1649.3553,2,34.6,8.05,1
1649.4548,2,35.35,7.7,1
1649.6552,2,37.35,6.85,1
1649.7548,2,38,6.35,1
1649.855,2,38.7,5.85,1
1649.9552,2,39.25,5.45,1
1650.0554,2,39.85,4.9,1
1650.1549,2,40.5,4.45,1
1650.2551,2,41,4.1,1
1650.3553,2,41.9,3.75,1
1650.555,2,43.9,2.5,1
1650.555,3,0.75,20.35,1
1650.6552,3,0.75,20.3,1
1650.7554,3,0.75,20.3,1
1650.9551,3,0.8,20.35,1
1658.3551,4,0.7,20.25,1
1658.655,4,0.7,20.25,1
1658.9549,4,0.8,20.25,1
1659.2549,4,0.9,20.25,1
1659.4552,4,0.85,20.25,1
1659.8554,4,0.75,20.3,1
1660.1553,4,0.65,20.3,1
1660.6549,4,0.75,20.25,1
1662.6549,5,0.35,23.65,1
1662.7551,5,0.35,23.65,1
1662.9548,5,0.45,23.5,1
1663.055,5,0.75,23.25,1
1663.1552,5,1.1,22.85,1
1663.2554,5,1.35,22.2,1
1663.3549,5,1.35,21.5,1
1663.4551,5,2.5,21.35,1
1663.5553,5,3.8,21.3,1
1663.6549,5,4.95,21.15,1
1663.8553,5,7.3,20.45,1
1663.9548,5,8,20.05,1
1664.055,5,8.75,19.75,1
1664.1552,5,9.45,19.3,1
1664.2547,5,10,18.85,1
1664.3549,5,10.55,18.35,1
1664.4551,5,10.7,17.95,1
1664.5553,5,11.15,17.4,1
1664.6548,5,11.65,16.85,1
1664.755,5,11.95,16.2,1
1664.9554,5,12.65,14.6,1
