ID,x,y,class 
1,723,424,2
1,450,585,2
1,379,480,2
1,666,320,2
2,136,137,2
2,354,12,2
2,431,107,2
2,203,260,2
3,657,304,2
3,761,238,2
3,602,52,2
3,480,118,2
4,219,274,2
4,127,333,2
4,247,538,2
4,365,479,2
5,67,412,1
5,143,373,1
5,168,422,1
5,90,467,1
6,174,427,1
6,203,479,1
6,121,523,1
6,93,471,1
7,207,485,1
7,236,538,1
7,159,579,1
7,126,526,1
8,245,63,1
8,193,4,1
8,138,38,1
8,184,105,1
9,573,527,1
9,653,641,1
9,708,606,1
9,629,489,1
10,635,488,1
10,682,460,1
10,756,573,1
10,712,601,1
11,691,458,3
11,732,431,3
11,807,534,3
11,762,567,3
12,133,42,3
12,170,105,3
12,135,126,3
12,87,71,3
20,144,164,2
20,198,285,2
20,108,343,2
20,36,238,2
21,452,113,2
21,604,38,2
21,590,6,2
21,351,8,2
22,756,248,2
22,666,308,2
22,733,420,2
22,823,346,2
23,384,485,2
23,235,551,2
23,321,666,2
23,442,588,2
